bug_type;bug_id;commit_hash_bug;commit_hash_ref;considered_commits;date_commit_bug;date_commit_refactoring;diff_in_days;distance;el;ending_commit;is_root_canal;ref_hash_id;ref_type;scope;starting_commit;type
robustness;21064;12a8163d89f051f1950a8e2b136edbe08b6cc711;948ce9bca757a323b0e07ce25a10a76f759898ba;[u'255020c002e99c42ba08342cbc874a0a5737d24c', u'77959a23ae933d353a9c9e4996ec0c86927892e1', u'b641968fade3f4f16c1676f2b5f06c6b4344ab08', u'b8c50342cacdaa5bc7e3e4e72eb8351da5824716', u'7d244731979444c7fef4d4b103b6cbc6a6dd782c', u'b88df41411d818f7b94c7f14739de7fba8753a8b', u'150b0c8bbac0cf9dae143bfebcf5772a6efa99a0', u'd0fd746309295fa52c8caca7e8eb98cec8cb88a9', u'9bd75d2c4e8bb5387ec65dd76ccf483f2bec59e7', u'7fec7616d1d256735fd5a608ca3dc5af444edab6', u'bc9dc4239a1889d0da388b3e52372dbb1ded7f09', u'304895ce6242327f04dd3b96e7f6d99cd5fdd191', u'961daf412a70dc40885a1ec74dd5d81c373ffe2f', u'5f6832bd82418c0d62e243e5d6ae5dcdb95b7446', u'7a3448dcea316f454dd0ba470f8b0825504ae309', u'cd70defe8455d24e6268c76106f19427aaaf557c', u'10aeeab05bb0ece58bc02b9f32661722985bfa92', u'669a7eae15ea1cf4d43f78955eb15a1b757717f5', u'54dc62a5423e69c080592ae4bef2276bd24e63cf', u'cbeb4704a086bebb4de6c524d16bdc2d087953fd', u'003b013e23a3ddefa411b4340f52f43df5ea0870', u'7c231e500fb3cfbb262a4e1e8851ea657534a0b6', u'c437e0d2a0833a49114fa69e746b5f5ee9ed7d8d', u'e2288433da8e8b2fe837d978bf095e8652328183', u'06f6d787d2c96939d850d1cd735d12dd4355d6fa', u'3572b96ca9382bef2069a89931185ba26626f958', u'f0282fd8b18b09bbd18ee4b82fed883f872a802a', u'5aae1b3e8d1c9e4fce5c763520c961b9f174f4d8', u'9f05cd3fd9313a592c4dd361864007d9a085da8f', u'd12e6411ccc654bc10c102c8a085b6b0e4634f8b', u'12a8163d89f051f1950a8e2b136edbe08b6cc711', u'f3577cdb5ce536ebcae232a268d7e01f1897e4e9', u'6c287080d460efa63e022407e88a04558b9fdbb6', u'8fb5ee4f11221d29f8d756000b75e87e03321845', u'd7d6e9fa4c426534b21ce6a7011b40e7a6a63f13', u'6ed54839c9a6f757f9f023b3c9170fbd455f1e56', u'e90841384e66d429a773de9fad4bd9f1eb2d65f1', u'f8f5fb01a4adbd7eabedad2c9e06fc5ce6c4525f', u'd1064deab4fcb65519fda168052576c3b44eb45e', u'1f3caa57f6679d0c6a15722072f2c8283b0c5b4e', u'c9928eaad1f371f18ecae2b487a5328b315b5790'];12/04/02 10:17;24/06/00 16:01;656;41;org.apache.tools.ant.taskdefs.Replace.execute;4579;FALSE;e751317f37467af646b1595e8b90ef00;Extract Method;[u'org.apache.tools.ant.taskdefs.Replace', u'org.apache.tools.ant.taskdefs.Replace.execute', u'org.apache.tools.ant.taskdefs.Replace.processFile', u'org.apache.tools.ant.taskdefs.Replace', u'org.apache.tools.ant.taskdefs.Replace.execute'];147;inserted
robustness;21064;12a8163d89f051f1950a8e2b136edbe08b6cc711;822028744ff977b3588dcc54bafdc1e9e8f98375;[u'255020c002e99c42ba08342cbc874a0a5737d24c', u'b641968fade3f4f16c1676f2b5f06c6b4344ab08', u'b8c50342cacdaa5bc7e3e4e72eb8351da5824716', u'7d244731979444c7fef4d4b103b6cbc6a6dd782c', u'b88df41411d818f7b94c7f14739de7fba8753a8b', u'150b0c8bbac0cf9dae143bfebcf5772a6efa99a0', u'd0fd746309295fa52c8caca7e8eb98cec8cb88a9', u'12a8163d89f051f1950a8e2b136edbe08b6cc711', u'7fec7616d1d256735fd5a608ca3dc5af444edab6', u'bc9dc4239a1889d0da388b3e52372dbb1ded7f09', u'961daf412a70dc40885a1ec74dd5d81c373ffe2f', u'5f6832bd82418c0d62e243e5d6ae5dcdb95b7446', u'7a3448dcea316f454dd0ba470f8b0825504ae309', u'cd70defe8455d24e6268c76106f19427aaaf557c', u'10aeeab05bb0ece58bc02b9f32661722985bfa92', u'669a7eae15ea1cf4d43f78955eb15a1b757717f5', u'54dc62a5423e69c080592ae4bef2276bd24e63cf', u'cbeb4704a086bebb4de6c524d16bdc2d087953fd', u'e2288433da8e8b2fe837d978bf095e8652328183', u'06f6d787d2c96939d850d1cd735d12dd4355d6fa', u'3572b96ca9382bef2069a89931185ba26626f958', u'5aae1b3e8d1c9e4fce5c763520c961b9f174f4d8', u'9f05cd3fd9313a592c4dd361864007d9a085da8f', u'd12e6411ccc654bc10c102c8a085b6b0e4634f8b', u'f3577cdb5ce536ebcae232a268d7e01f1897e4e9', u'304895ce6242327f04dd3b96e7f6d99cd5fdd191', u'8fb5ee4f11221d29f8d756000b75e87e03321845', u'd7d6e9fa4c426534b21ce6a7011b40e7a6a63f13', u'6ed54839c9a6f757f9f023b3c9170fbd455f1e56', u'e90841384e66d429a773de9fad4bd9f1eb2d65f1', u'f8f5fb01a4adbd7eabedad2c9e06fc5ce6c4525f', u'd1064deab4fcb65519fda168052576c3b44eb45e', u'1f3caa57f6679d0c6a15722072f2c8283b0c5b4e'];12/04/02 10:17;15/01/01 01:22;452;33;org.apache.tools.ant.taskdefs.Replace.execute;4579;FALSE;e6b97de5b47f1268569dcb46e2965cd3;Extract Method;[u'org.apache.tools.ant.taskdefs.Replace', u'org.apache.tools.ant.taskdefs.Replace.execute', u'org.apache.tools.ant.taskdefs.Replace.validateAttributes', u'org.apache.tools.ant.taskdefs.Replace.execute', u'org.apache.tools.ant.taskdefs.Replace'];885;inserted
functional;21089;5db106732ce0f855fd2b03fd68104a708acf7996;b139901cab374b10e2f73a58769fb4ef1c2837bd;[u'abd5987913a0a10ee5c1fbbe6232c468986d889b', u'23f7147dc6fa39ffc7166e5b3d52fb696577ca37', u'bc47be3b7622cf0b1ba1099469bc19b8485f9636', u'5f6832bd82418c0d62e243e5d6ae5dcdb95b7446', u'b8c50342cacdaa5bc7e3e4e72eb8351da5824716', u'06e57b190fc6917c0b5c55e01ba50c55a841a810', u'5db106732ce0f855fd2b03fd68104a708acf7996', u'afd11ba3a874515c715ac3b65fd951123b476855', u'669a7eae15ea1cf4d43f78955eb15a1b757717f5', u'b3cc9d80b2398ace0096a303b714bd13b791d9fc', u'68fb37b1a2632d9da411ffa8d6b942fb8536fc82', u'255020c002e99c42ba08342cbc874a0a5737d24c', u'093967db0e29ab675eef29fbe21d840f3467c5a7', u'9bd75d2c4e8bb5387ec65dd76ccf483f2bec59e7', u'7fec7616d1d256735fd5a608ca3dc5af444edab6', u'f48a93735faf999112e9bf78aead5ef0983c9701', u'a8d4fe6d9b8c7a4adb1704b12de610dc6e18fe94', u'7a3448dcea316f454dd0ba470f8b0825504ae309', u'8162d141e44b778d135f9251277e85c922f0544c', u'ae16bb711b331f6c8a20ee1298cf171de43266f7', u'f60ca231a1cb76323cf65a2b8f563ce87fa225a8', u'10aeeab05bb0ece58bc02b9f32661722985bfa92', u'ff810113da688cd4aa875ac5bb4ddea3863a9f53', u'0b2fdb27096341d7df6110190ac3519191945177', u'cbeb4704a086bebb4de6c524d16bdc2d087953fd', u'ff38a6188bef2e1d3b6cace965f0075ea2c34bc5', u'1dc954f3a51bf0c5adff222d717d04c08f4bed4e', u'b400039e78b1149debb827a773cd17da95edb11a', u'480c59459b1d02b626b2a29b1aa8dfbadcb31c4d', u'764d1e985b968dda43e19fd1db74f47d564f1f81', u'0da0af073924054328b63e86299b33050b241739', u'3946d3183e482916114f5b5126d23cd6bf1c9da3', u'36a0800e7ea144680d92d4233585363120643b5d', u'320a0390be7c51cf493f5a8d4d6e5af9d25934a4', u'89c618a4ba5166ec11651fd7dc29807eb861650e', u'e390c09b6e313b7d9528ca9075e2c5c864c05f21', u'0218e3ecae8397a700aae864601f963e5771a9a5', u'5cc29f61e6a8fbcf8cb8f0fe2f848955c41f486a', u'44ab3228838ef0339918046fe66af61df580163d', u'b75abffe3054043c56a6166ef47b7276091b810b', u'5c1e42a954c9a3212c5263e1fdb012ab48515807', u'bfc6ef8295b44eea9ded49c346470c7a7d0c6ee5', u'f3577cdb5ce536ebcae232a268d7e01f1897e4e9', u'eb278f795eee59165a03a7046586dc20b589f600', u'500d69e18909fb9dc8dc537095aa352e951f61da', u'dff89c5ee288ed809304d9df1c4458a8b1d496c1', u'6440b64b5a526e07d4457be2153642524cecc959', u'7e5853486c57409e72a3ce3d49d6cfeaa135628f', u'758b225e9a7868aa92992cc2bb27f5036225a1f1', u'ff55918264e6e23033480d0bdd8110350a155c95', u'bc27fce2a42366b92093ad1f276b04d13bf9c372', u'd12e6411ccc654bc10c102c8a085b6b0e4634f8b', u'80b22f776fb3d5f44c75b75399b979d298d4369f', u'c68a4ebc8762999c7ec9e77564f17888e0ef6175', u'a13422639ada6870cf813dcfe54378598ec6672b', u'd1064deab4fcb65519fda168052576c3b44eb45e', u'38c2a2a22283450dab6afcf3d3ec094c67dc1e4e', u'653124c46b538acb4d6caf265851fa991578d42d', u'e24538c3426ad1ef6c10830ee1d326e5b2b797ee', u'c32873b51961cb99f47b4ae6da2922b7b46a6f89'];12/04/02 11:44;25/01/00 23:03;807;60;org.apache.tools.ant.taskdefs.Rmic.execute;4580;TRUE;c015779b416117d107a33c5bfa7d0e50;Extract Method;[u'org.apache.tools.ant.taskdefs.Rmic.execute', u'org.apache.tools.ant.taskdefs.Rmic', u'org.apache.tools.ant.taskdefs.Rmic', u'org.apache.tools.ant.taskdefs.Rmic.execute', u'org.apache.tools.ant.taskdefs.Rmic.getCompileClasspath'];14;inserted
functional;21089;5db106732ce0f855fd2b03fd68104a708acf7996;d5313cd9aeb9e62923cf784c46598937160aba2e;[u'abd5987913a0a10ee5c1fbbe6232c468986d889b', u'23f7147dc6fa39ffc7166e5b3d52fb696577ca37', u'bc47be3b7622cf0b1ba1099469bc19b8485f9636', u'5f6832bd82418c0d62e243e5d6ae5dcdb95b7446', u'b8c50342cacdaa5bc7e3e4e72eb8351da5824716', u'06e57b190fc6917c0b5c55e01ba50c55a841a810', u'5db106732ce0f855fd2b03fd68104a708acf7996', u'afd11ba3a874515c715ac3b65fd951123b476855', u'669a7eae15ea1cf4d43f78955eb15a1b757717f5', u'b3cc9d80b2398ace0096a303b714bd13b791d9fc', u'68fb37b1a2632d9da411ffa8d6b942fb8536fc82', u'255020c002e99c42ba08342cbc874a0a5737d24c', u'093967db0e29ab675eef29fbe21d840f3467c5a7', u'9bd75d2c4e8bb5387ec65dd76ccf483f2bec59e7', u'7fec7616d1d256735fd5a608ca3dc5af444edab6', u'f48a93735faf999112e9bf78aead5ef0983c9701', u'a8d4fe6d9b8c7a4adb1704b12de610dc6e18fe94', u'7a3448dcea316f454dd0ba470f8b0825504ae309', u'8162d141e44b778d135f9251277e85c922f0544c', u'f60ca231a1cb76323cf65a2b8f563ce87fa225a8', u'10aeeab05bb0ece58bc02b9f32661722985bfa92', u'ff810113da688cd4aa875ac5bb4ddea3863a9f53', u'0b2fdb27096341d7df6110190ac3519191945177', u'cbeb4704a086bebb4de6c524d16bdc2d087953fd', u'ff38a6188bef2e1d3b6cace965f0075ea2c34bc5', u'1dc954f3a51bf0c5adff222d717d04c08f4bed4e', u'480c59459b1d02b626b2a29b1aa8dfbadcb31c4d', u'b400039e78b1149debb827a773cd17da95edb11a', u'0da0af073924054328b63e86299b33050b241739', u'3946d3183e482916114f5b5126d23cd6bf1c9da3', u'36a0800e7ea144680d92d4233585363120643b5d', u'320a0390be7c51cf493f5a8d4d6e5af9d25934a4', u'89c618a4ba5166ec11651fd7dc29807eb861650e', u'e390c09b6e313b7d9528ca9075e2c5c864c05f21', u'5cc29f61e6a8fbcf8cb8f0fe2f848955c41f486a', u'44ab3228838ef0339918046fe66af61df580163d', u'b75abffe3054043c56a6166ef47b7276091b810b', u'd12e6411ccc654bc10c102c8a085b6b0e4634f8b', u'bfc6ef8295b44eea9ded49c346470c7a7d0c6ee5', u'f3577cdb5ce536ebcae232a268d7e01f1897e4e9', u'eb278f795eee59165a03a7046586dc20b589f600', u'500d69e18909fb9dc8dc537095aa352e951f61da', u'dff89c5ee288ed809304d9df1c4458a8b1d496c1', u'6440b64b5a526e07d4457be2153642524cecc959', u'7e5853486c57409e72a3ce3d49d6cfeaa135628f', u'758b225e9a7868aa92992cc2bb27f5036225a1f1', u'ff55918264e6e23033480d0bdd8110350a155c95', u'bc27fce2a42366b92093ad1f276b04d13bf9c372', u'5c1e42a954c9a3212c5263e1fdb012ab48515807', u'80b22f776fb3d5f44c75b75399b979d298d4369f', u'c68a4ebc8762999c7ec9e77564f17888e0ef6175', u'a13422639ada6870cf813dcfe54378598ec6672b', u'd1064deab4fcb65519fda168052576c3b44eb45e', u'38c2a2a22283450dab6afcf3d3ec094c67dc1e4e', u'e24538c3426ad1ef6c10830ee1d326e5b2b797ee', u'c32873b51961cb99f47b4ae6da2922b7b46a6f89'];12/04/02 11:44;04/07/00 06:44;647;56;org.apache.tools.ant.taskdefs.Rmic.execute;4580;FALSE;15a13edd40c61ebd75664e0a09260a60;Extract Method;[u'org.apache.tools.ant.taskdefs.Rmic.execute', u'org.apache.tools.ant.taskdefs.Rmic', u'org.apache.tools.ant.taskdefs.Rmic', u'org.apache.tools.ant.taskdefs.Rmic.execute', u'org.apache.tools.ant.taskdefs.Rmic.moveGeneratedFile'];175;inserted
functional;21089;5db106732ce0f855fd2b03fd68104a708acf7996;4a99751448c8773ce33c3029af60e20db02167f7;[u'afd11ba3a874515c715ac3b65fd951123b476855', u'255020c002e99c42ba08342cbc874a0a5737d24c', u'bc47be3b7622cf0b1ba1099469bc19b8485f9636', u'5f6832bd82418c0d62e243e5d6ae5dcdb95b7446', u'b8c50342cacdaa5bc7e3e4e72eb8351da5824716', u'06e57b190fc6917c0b5c55e01ba50c55a841a810', u'0b2fdb27096341d7df6110190ac3519191945177', u'b3cc9d80b2398ace0096a303b714bd13b791d9fc', u'68fb37b1a2632d9da411ffa8d6b942fb8536fc82', u'5db106732ce0f855fd2b03fd68104a708acf7996', u'093967db0e29ab675eef29fbe21d840f3467c5a7', u'7fec7616d1d256735fd5a608ca3dc5af444edab6', u'f48a93735faf999112e9bf78aead5ef0983c9701', u'7a3448dcea316f454dd0ba470f8b0825504ae309', u'f60ca231a1cb76323cf65a2b8f563ce87fa225a8', u'10aeeab05bb0ece58bc02b9f32661722985bfa92', u'669a7eae15ea1cf4d43f78955eb15a1b757717f5', u'7e5853486c57409e72a3ce3d49d6cfeaa135628f', u'cbeb4704a086bebb4de6c524d16bdc2d087953fd', u'ff38a6188bef2e1d3b6cace965f0075ea2c34bc5', u'1dc954f3a51bf0c5adff222d717d04c08f4bed4e', u'480c59459b1d02b626b2a29b1aa8dfbadcb31c4d', u'b400039e78b1149debb827a773cd17da95edb11a', u'0da0af073924054328b63e86299b33050b241739', u'3946d3183e482916114f5b5126d23cd6bf1c9da3', u'36a0800e7ea144680d92d4233585363120643b5d', u'320a0390be7c51cf493f5a8d4d6e5af9d25934a4', u'89c618a4ba5166ec11651fd7dc29807eb861650e', u'e390c09b6e313b7d9528ca9075e2c5c864c05f21', u'5cc29f61e6a8fbcf8cb8f0fe2f848955c41f486a', u'44ab3228838ef0339918046fe66af61df580163d', u'b75abffe3054043c56a6166ef47b7276091b810b', u'd12e6411ccc654bc10c102c8a085b6b0e4634f8b', u'bfc6ef8295b44eea9ded49c346470c7a7d0c6ee5', u'f3577cdb5ce536ebcae232a268d7e01f1897e4e9', u'eb278f795eee59165a03a7046586dc20b589f600', u'500d69e18909fb9dc8dc537095aa352e951f61da', u'dff89c5ee288ed809304d9df1c4458a8b1d496c1', u'6440b64b5a526e07d4457be2153642524cecc959', u'758b225e9a7868aa92992cc2bb27f5036225a1f1', u'ff55918264e6e23033480d0bdd8110350a155c95', u'bc27fce2a42366b92093ad1f276b04d13bf9c372', u'5c1e42a954c9a3212c5263e1fdb012ab48515807', u'c68a4ebc8762999c7ec9e77564f17888e0ef6175', u'd1064deab4fcb65519fda168052576c3b44eb45e', u'e24538c3426ad1ef6c10830ee1d326e5b2b797ee'];12/04/02 11:44;29/11/00 14:42;498;46;org.apache.tools.ant.taskdefs.Rmic.execute;4580;FALSE;86da8de919f5d50515be3c444e1ab218;Inline Method;[u'org.apache.tools.ant.taskdefs.Rmic.execute', u'org.apache.tools.ant.taskdefs.Rmic', u'org.apache.tools.ant.taskdefs.Rmic.scanDir', u'org.apache.tools.ant.taskdefs.Rmic.execute', u'org.apache.tools.ant.taskdefs.Rmic'];703;inserted
robustness;21520;ca5695fa0b2244e641914350434aa0dc8071d12c;b8de4702c99eb699fc8f1ef6e85c2d6655bb3092;[u'b8c50342cacdaa5bc7e3e4e72eb8351da5824716', u'2a87210bc3a186a1c2c3aa1b8501354339de2d13', u'ca5695fa0b2244e641914350434aa0dc8071d12c', u'c859e9eed3689ebbb0d986a6227240b2ba1faafc', u'7fec7616d1d256735fd5a608ca3dc5af444edab6', u'44735223d94bae810d33e7f820d587bfb49728fd', u'9f4642716c6149bfbb2c4b3ebfaa07807cac3617', u'10aeeab05bb0ece58bc02b9f32661722985bfa92', u'1e57e83036edb25a9106c8eb30bbb0183a6f44ed', u'b400039e78b1149debb827a773cd17da95edb11a', u'df14132289636640ade9cc52ecf8bfdc4ba52433', u'65c82879ee9fbf59f8c95ac2fdd23051297f7463', u'c28fbe7d76ca748c52b9b935c815ddfe92f7c1cf', u'7a3448dcea316f454dd0ba470f8b0825504ae309', u'd9171245f61ce5bc2bdfc0416f8f9947e50f8cb6', u'1df82da13fe99eb52681aed90976854fad1bbce8', u'd12e6411ccc654bc10c102c8a085b6b0e4634f8b', u'8854bf786818398c0e519f02de94efda5ba569ed', u'f3577cdb5ce536ebcae232a268d7e01f1897e4e9', u'9f2aca50e33a1be8154bd90b93a1f658e4b6d910', u'46a5edcc5944de2a61d622993ff652fc80919725', u'7cbd5df0177f449706fe1ad6f84fa401ca264e18', u'25484253db5920a2b34079a486f15d051503ac1a', u'd47f6c9b67e3b0a3f743b478be8ef53c2e5e6a87', u'3781d8b0e1b86ff71872dc82026d4b832e41d851', u'd1064deab4fcb65519fda168052576c3b44eb45e', u'598017b1cdec8da5d9ac7002f6625561aca80ac7', u'f66cab0ea7689df54fe51f64018cd3ef8b05cd3d'];12/04/02 12:58;03/04/01 11:32;374;28;org.apache.tools.ant.taskdefs.XSLTProcess.execute;4584;FALSE;27ff7ec6595efa211ab5d5cd3cdca2f1;Extract Method;[u'org.apache.tools.ant.taskdefs.XSLTProcess.execute', u'org.apache.tools.ant.taskdefs.XSLTProcess', u'org.apache.tools.ant.taskdefs.XSLTProcess.execute', u'org.apache.tools.ant.taskdefs.XSLTProcess.process', u'org.apache.tools.ant.taskdefs.XSLTProcess'];1234;inserted
robustness;21520;ca5695fa0b2244e641914350434aa0dc8071d12c;ff38a6188bef2e1d3b6cace965f0075ea2c34bc5;[u'b8c50342cacdaa5bc7e3e4e72eb8351da5824716', u'2a87210bc3a186a1c2c3aa1b8501354339de2d13', u'ca5695fa0b2244e641914350434aa0dc8071d12c', u'c859e9eed3689ebbb0d986a6227240b2ba1faafc', u'7fec7616d1d256735fd5a608ca3dc5af444edab6', u'82377345488d92a4bd5f65ae312611b4c7ae5cf0', u'44735223d94bae810d33e7f820d587bfb49728fd', u'9f4642716c6149bfbb2c4b3ebfaa07807cac3617', u'10aeeab05bb0ece58bc02b9f32661722985bfa92', u'1e57e83036edb25a9106c8eb30bbb0183a6f44ed', u'b400039e78b1149debb827a773cd17da95edb11a', u'df14132289636640ade9cc52ecf8bfdc4ba52433', u'65c82879ee9fbf59f8c95ac2fdd23051297f7463', u'c28fbe7d76ca748c52b9b935c815ddfe92f7c1cf', u'7a3448dcea316f454dd0ba470f8b0825504ae309', u'd9171245f61ce5bc2bdfc0416f8f9947e50f8cb6', u'1df82da13fe99eb52681aed90976854fad1bbce8', u'd12e6411ccc654bc10c102c8a085b6b0e4634f8b', u'8854bf786818398c0e519f02de94efda5ba569ed', u'f3577cdb5ce536ebcae232a268d7e01f1897e4e9', u'9f2aca50e33a1be8154bd90b93a1f658e4b6d910', u'46a5edcc5944de2a61d622993ff652fc80919725', u'7cbd5df0177f449706fe1ad6f84fa401ca264e18', u'25484253db5920a2b34079a486f15d051503ac1a', u'd47f6c9b67e3b0a3f743b478be8ef53c2e5e6a87', u'3781d8b0e1b86ff71872dc82026d4b832e41d851', u'd1064deab4fcb65519fda168052576c3b44eb45e', u'598017b1cdec8da5d9ac7002f6625561aca80ac7', u'f66cab0ea7689df54fe51f64018cd3ef8b05cd3d'];12/04/02 12:58;19/03/01 11:22;389;29;org.apache.tools.ant.taskdefs.XSLTProcess.execute;4584;FALSE;c5b6cf8a54dc485787ca4960cae05fd6;Extract Method;[u'org.apache.tools.ant.taskdefs.XSLTProcess', u'org.apache.tools.ant.taskdefs.XSLTProcess.execute', u'org.apache.tools.ant.taskdefs.XSLTProcess', u'org.apache.tools.ant.taskdefs.XSLTProcess.execute', u'org.apache.tools.ant.taskdefs.XSLTProcess.getLiaison'];1188;inserted
